"WHEAT-SRW - CHICAGO BOARD OF TRADE",260519,2026-05-19,001602,CBT ,00,001 ,  474622,  143267,  143004,  137996,  157233,  159225,  438496,  440225,   36126,   34397,  463422,  139516,  144832,  133239,  156117,  153822,  428872,  431893,   34550,   31529,   11200,    7842,    2263,     666,    1116,    5403,    9624,    8332,    1576,    2868,   27860,    8690,   -5994,   10995,   11056,   25537,   30741,   30538,   -2881,   -2678,  100.0,   30.2,   30.1,   29.1,   33.1,   33.5,   92.4,   92.8,    7.6,    7.2,  100.0,   30.1,   31.3,   28.8,   33.7,   33.2,   92.5,   93.2,    7.5,    6.8,  100.0,   70.0,   20.2,    5.9,   10.0,   48.2,   85.9,   74.4,   14.1,   25.6,    391,    142,    105,    110,     83,    110,    286,    274,    390,    140,    108,    109,     80,    108,    282,    272,    103,     16,     19,     12,     15,     57,     36,     85,    12.8,    11.1,    21.9,    20.0,    10.8,     9.6,    17.6,    15.2,    13.1,    11.3,    21.9,    20.4,    10.9,    10.0,    17.2,    15.7,    60.7,    26.1,    71.8,    38.2,    56.3,    25.8,    67.3,    36.2,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-HRW - CHICAGO BOARD OF TRADE",260519,2026-05-19,001612,CBT ,00,001 ,  307999,   80651,   75235,   87829,  118186,  123127,  286666,  286191,   21333,   21808,  302484,   81883,   79132,   81687,  117983,  121285,  281553,  282104,   20931,   20380,    5515,    4485,    1820,     425,     203,    1842,    5113,    4087,     402,    1428,   10457,    -106,    8703,    4365,    7225,   -1665,   11484,   11403,   -1027,    -946,  100.0,   26.2,   24.4,   28.5,   38.4,   40.0,   93.1,   92.9,    6.9,    7.1,  100.0,   27.1,   26.2,   27.0,   39.0,   40.1,   93.1,   93.3,    6.9,    6.7,  100.0,   81.3,   33.0,    7.7,    3.7,   33.4,   92.7,   74.1,    7.3,   25.9,    259,     76,     65,     77,     76,     90,    194,    192,    259,     75,     66,     77,     76,     90,    194,    192,     69,     13,     10,      5,      8,     40,     24,     52,    14.7,    15.0,    25.7,    26.8,    12.2,    13.3,    21.3,    21.3,    15.0,    15.3,    26.1,    27.2,    12.4,    14.4,    21.7,    22.5,    70.8,    41.6,    86.8,    50.6,    70.8,    36.5,    80.4,    45.5,"(CONTRACTS OF 5,000 BUSHELS)","001612","CBT ","001 "
"WHEAT-HRSpring - MIAX FUTURES EXCHANGE",260519,2026-05-19,001626,MGE ,00,001 ,   81897,   36055,    6365,    5327,   38534,   68145,   79916,   79837,    1981,    2060,   44576,   25702,    6028,     228,   16772,   36866,   42702,   43122,    1874,    1454,   37321,   13580,    3564,    1872,   21762,   31279,   37214,   36715,     107,     606,   -7189,   -2082,     534,     -58,    2876,    -359,     736,     117,   -7925,   -7306,  100.0,   44.0,    7.8,    6.5,   47.1,   83.2,   97.6,   97.5,    2.4,    2.5,  100.0,   57.7,   13.5,    0.5,   37.6,   82.7,   95.8,   96.7,    4.2,    3.3,  100.0,   36.4,    9.5,    5.0,   58.3,   83.8,   99.7,   98.4,    0.3,    1.6,    118,     34,     14,     19,     54,     49,     95,     75,    111,     27,     17,      7,     32,     39,     63,     60,     90,     21,     10,     11,     40,     41,     67,     56,    26.2,    38.8,    41.3,    58.8,    26.1,    38.1,    41.2,    55.2,    40.8,    47.9,    56.4,    66.3,    40.8,    47.9,    56.4,    66.3,    32.2,    43.2,    47.9,    56.6,    32.2,    43.2,    46.1,    54.3,"(CONTRACTS OF 5,000 BUSHELS)","001626","MGE ","001 "
"CORN - CHICAGO BOARD OF TRADE",260519,2026-05-19,002602,CBT ,00,002 , 1883612,  569689,  211587,  426707,  757342, 1045967, 1753738, 1684261,  129874,  199351, 1089807,  377320,  345464,  146133,  487700,  513526, 1011153, 1005123,   78654,   84684,  793805,  410767,   84521,   62176,  269642,  532441,  742585,  679138,   51220,  114667,   -9082,   -1109,   24326,   -5761,   14069,   42738,    7199,   61303,  -16281,  -70385,  100.0,   30.2,   11.2,   22.7,   40.2,   55.5,   93.1,   89.4,    6.9,   10.6,  100.0,   34.6,   31.7,   13.4,   44.8,   47.1,   92.8,   92.2,    7.2,    7.8,  100.0,   51.7,   10.6,    7.8,   34.0,   67.1,   93.5,   85.6,    6.5,   14.4,    874,    235,    135,    174,    304,    384,    628,    627,    797,    193,    139,    115,    266,    329,    523,    529,    690,    163,    102,     81,    158,    345,    357,    496,    10.0,    10.3,    18.4,    18.0,     9.5,     9.1,    16.0,    15.4,    13.5,    12.3,    22.4,    21.0,    13.3,    11.5,    21.4,    17.7,    17.4,    14.3,    28.0,    24.6,    17.1,    14.3,    27.7,    24.1,"(CONTRACTS OF 5,000 BUSHELS)","002602","CBT ","002 "
"OATS - CHICAGO BOARD OF TRADE",260519,2026-05-19,004603,CBT ,00,004 ,    4473,    1421,     387,     175,    1076,    3168,    2672,    3730,    1801,     743,    4471,    1421,     385,     175,    1076,    3168,    2672,    3728,    1799,     743,       2,       0,       2,       0,       0,       0,       0,       2,       2,       0,.,.,.,.,.,.,.,.,.,.,  100.0,   31.8,    8.7,    3.9,   24.1,   70.8,   59.7,   83.4,   40.3,   16.6,  100.0,   31.8,    8.6,    3.9,   24.1,   70.9,   59.8,   83.4,   40.2,   16.6,  100.0,    0.0,  100.0,    0.0,    0.0,    0.0,    0.0,  100.0,  100.0,    0.0,     21,      6,      2,      2,      7,     11,     15,     14,     21,      6,      2,      2,      7,     11,     15,     14,      1,      0,      1,      0,      0,      0,      0,      1,    37.2,    53.1,    50.4,    75.8,    28.2,    43.4,    35.7,    58.2,    37.3,    53.1,    50.4,    75.8,    28.2,    43.3,    35.7,    58.2,     0.0,   100.0,     0.0,   100.0,     0.0,   100.0,     0.0,   100.0,"(CONTRACTS OF 5,000 BUSHELS)","004603","CBT ","004 "
"SOYBEANS - CHICAGO BOARD OF TRADE",260519,2026-05-19,005602,CBT ,00,005 , 1023176,  288551,   76313,  202738,  479743,  663009,  971032,  942060,   52144,   81116,  473973,  176315,  110441,   29893,  242422,  304918,  448630,  445252,   25343,   28721,  549203,  189331,   42967,   95750,  237321,  358091,  522402,  496808,   26801,   52395,   32180,   -1235,   10529,    2336,   41953,   37116,   43054,   49981,  -10874,  -17801,  100.0,   28.2,    7.5,   19.8,   46.9,   64.8,   94.9,   92.1,    5.1,    7.9,  100.0,   37.2,   23.3,    6.3,   51.1,   64.3,   94.7,   93.9,    5.3,    6.1,  100.0,   34.5,    7.8,   17.4,   43.2,   65.2,   95.1,   90.5,    4.9,    9.5,    630,    180,    106,    155,    182,    283,    448,    481,    578,    151,    115,     73,    123,    249,    320,    397,    512,    124,     83,     96,    145,    248,    318,    390,    10.0,    15.1,    17.9,    25.5,     9.8,    13.6,    16.5,    22.7,    14.8,    17.1,    25.2,    28.2,    14.7,    16.0,    25.0,    25.1,    13.0,    13.9,    20.9,    25.2,    12.2,    13.0,    19.1,    23.1,"(CONTRACTS OF 5,000 BUSHELS)","005602","CBT ","005 "
"MINI SOYBEANS - CHICAGO BOARD OF TRADE",260519,2026-05-19,005603,CBT ,00,005 ,   29170,   19327,    1051,    2845,      19,    9587,   22191,   13483,    6979,   15687,    7453,    5882,    2985,     207,       7,     697,    6096,    3889,    1357,    3564,   21717,   15934,     555,     149,      12,    8890,   16095,    9594,    5622,   12123,     760,    1166,    -310,     367,       7,     271,    1540,     328,    -780,     432,  100.0,   66.3,    3.6,    9.8,    0.1,   32.9,   76.1,   46.2,   23.9,   53.8,  100.0,   78.9,   40.1,    2.8,    0.1,    9.4,   81.8,   52.2,   18.2,   47.8,  100.0,   73.4,    2.6,    0.7,    0.1,   40.9,   74.1,   44.2,   25.9,   55.8,     24,      6,      4,      6,      2,     14,     10,     22,     23,      3,      7,      1,      2,     13,      6,     20,     23,      6,      3,      5,      1,     14,      8,     21,    70.8,    31.8,    76.0,    37.0,    62.9,    25.5,    66.3,    29.7,    81.7,    44.0,    81.8,    49.8,    78.9,    41.2,    78.9,    47.0,    70.3,    31.4,    74.1,    36.1,    69.9,    31.4,    73.4,    36.0,"(Contracts of 1,000 Bushels)","005603","CBT ","005 "
"NJ SRECS - ICE FUTURES ENERGY DIV",260519,2026-05-19,0063CC,IFED,01,006 ,  155359,   26045,   60442,    4822,  124492,   90095,  155359,  155359,       0,       0,  155359,   26045,   60442,    4822,  124492,   90095,  155359,  155359,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    4530,     700,   -2080,       0,    3830,    6610,    4530,    4530,       0,       0,  100.0,   16.8,   38.9,    3.1,   80.1,   58.0,  100.0,  100.0,    0.0,    0.0,  100.0,   16.8,   38.9,    3.1,   80.1,   58.0,  100.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     37,      6,      7,      3,     17,     14,     24,     23,     37,      6,      7,      3,     17,     14,     24,     23,      0,      0,      0,      0,      0,      0,      0,      0,    57.0,    78.7,    80.4,    89.7,    57.0,    78.7,    79.7,    85.6,    57.0,    78.7,    80.4,    89.7,    57.0,    78.7,    79.7,    85.6,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(10 SRECs)","0063CC","IFED","006 "
"PJM TRI-RECs CLASS 1 - ICE FUTURES ENERGY DIV",260519,2026-05-19,0063CH,IFED,01,006 ,  287354,   44717,   74761,   23317,  219297,  189258,  287331,  287336,      23,      18,  287354,   44717,   74761,   23317,  219297,  189258,  287331,  287336,      23,      18,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    2605,    4154,    1811,     393,   -1942,     401,    2605,    2605,       0,       0,  100.0,   15.6,   26.0,    8.1,   76.3,   65.9,  100.0,  100.0,    0.0,    0.0,  100.0,   15.6,   26.0,    8.1,   76.3,   65.9,  100.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     52,     11,     12,     12,     22,     20,     39,     38,     52,     11,     12,     12,     22,     20,     39,     38,      0,      0,      0,      0,      0,      0,      0,      0,    38.7,    53.0,    63.3,    73.1,    34.6,    51.7,    57.2,    69.2,    38.7,    53.0,    63.3,    73.1,    34.6,    51.7,    57.2,    69.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(100 MWh of renewable energy certificate","0063CH","IFED","006 "
"CALIF LOW CARBON FSC-OPIS - ICE FUTURES ENERGY DIV",260519,2026-05-19,0063CU,IFED,01,006 ,  106918,   69613,   18530,     550,   36734,   87838,  106897,  106918,      21,       0,  106918,   69613,   18530,     550,   36734,   87838,  106897,  106918,      21,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1302,    1262,     418,       0,      30,     884,    1292,    1302,      10,       0,  100.0,   65.1,   17.3,    0.5,   34.4,   82.2,  100.0,  100.0,    0.0,    0.0,  100.0,   65.1,   17.3,    0.5,   34.4,   82.2,  100.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     53,     23,      7,      2,     12,     12,     36,     21,     53,     23,      7,      2,     12,     12,     36,     21,      0,      0,      0,      0,      0,      0,      0,      0,    63.1,    84.6,    83.9,    96.4,    62.7,    84.2,    83.5,    96.0,    63.1,    84.6,    83.9,    96.4,    62.7,    84.2,    83.5,    96.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(100 LCFS Credits- each of 1 MT)","0063CU","IFED","006 "
